date,season,year,month,weekday,working_day,weather,temperature_x,humidity_x,windspeed_x,total_rentals,hour,temperature_y,humidity_y,windspeed_y,hourly_rentals
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,0,0.24,0.81,0.0,16
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,1,0.22,0.8,0.0,40
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,2,0.22,0.8,0.0,32
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,3,0.24,0.75,0.0,13
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,4,0.24,0.75,0.0,1
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,5,0.24,0.75,0.0896,1
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,6,0.22,0.8,0.0,2
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,7,0.2,0.86,0.0,3
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,8,0.24,0.75,0.0,8
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,9,0.32,0.76,0.0,14
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,10,0.38,0.76,0.2537,36
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,11,0.36,0.81,0.2836,56
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,12,0.42,0.77,0.2836,84
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,13,0.46,0.72,0.2985,94
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,14,0.46,0.72,0.2836,106
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,15,0.44,0.77,0.2985,110
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,16,0.42,0.82,0.2985,93
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,17,0.44,0.82,0.2836,67
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,18,0.42,0.88,0.2537,35
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,19,0.42,0.88,0.2537,37
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,20,0.4,0.87,0.2537,36
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,21,0.4,0.87,0.194,34
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,22,0.4,0.94,0.2239,28
2011-01-01,1,0,1,6,0,2,0.344167,0.805833,0.160446,985,23,0.46,0.88,0.2985,39
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,0,0.46,0.88,0.2985,17
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,1,0.44,0.94,0.2537,17
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,2,0.42,1.0,0.2836,9
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,3,0.46,0.94,0.194,6
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,4,0.46,0.94,0.194,3
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,6,0.42,0.77,0.2985,2
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,7,0.4,0.76,0.194,1
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,8,0.4,0.71,0.2239,8
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,9,0.38,0.76,0.2239,20
2011-01-02,1,0,1,0,0,2,0.363478,0.696087,0.248539,801,10,0.36,0.81,0.2239,53
